projeto;arquivo;tipo;especie;loc;cc;membros_publicos;campos;metodos;acoplamento_eferente;unity;heranca
2D (Molz atual);Core\Audio\IAudioService.cs;IAudioService;interface;24;1;0;0;15;0;0;
2D (Molz atual);Core\Audio\MusicManager.cs;MusicManager;class;334;50;13;13;23;50;1;MonoBehaviour
2D (Molz atual);Core\Audio\SfxManager.cs;SfxId;enum;12;1;0;0;0;0;0;
2D (Molz atual);Core\Audio\SfxManager.cs;SfxManager;class;163;30;16;13;21;38;1;MonoBehaviour
2D (Molz atual);Core\Audio\UnityAudioService.cs;UnityAudioService;class;24;18;17;0;15;21;0;IAudioService
2D (Molz atual);Core\Bootstrap\Bootstrapper.cs;Bootstrapper;class;54;2;0;2;1;28;1;MonoBehaviour
2D (Molz atual);Core\GameManager.cs;GameManager;class;259;50;28;6;24;79;1;MonoBehaviour
2D (Molz atual);Core\PortraitAspectCamera.cs;PortraitAspectCamera;class;145;1;0;3;0;7;1;MonoBehaviour
2D (Molz atual);Core\QuestionRunTracker.cs;QuestionRunTracker;class;61;8;13;1;8;17;0;
2D (Molz atual);Core\SceneFader.cs;SceneFader;class;98;7;6;3;8;19;1;MonoBehaviour
2D (Molz atual);Core\SceneNames.cs;SceneNames;class;6;1;3;3;0;0;0;
2D (Molz atual);Core\SceneRouter.cs;SceneRouter;class;59;9;4;4;5;18;0;
2D (Molz atual);Core\ServiceLocator.cs;ServiceLocator;class;50;6;4;1;4;8;0;
2D (Molz atual);Data\DataIndex.cs;DataIndex;class;7;1;4;4;0;0;0;
2D (Molz atual);Data\DifficultyLevelData.cs;DifficultyLevelData;class;26;5;6;5;0;8;1;ScriptableObject
2D (Molz atual);Data\Dtos\CompoundDto.cs;CompoundDto;class;11;1;7;7;0;2;0;
2D (Molz atual);Data\Dtos\QuestionDto.cs;QuestionDto;class;11;1;7;7;0;2;0;
2D (Molz atual);Data\Dtos\SolutionDto.cs;SolutionDto;class;10;1;6;6;0;2;0;
2D (Molz atual);Data\Dtos\SolventDto.cs;SolventDto;class;11;1;7;7;0;2;0;
2D (Molz atual);Data\Mappers\CompoundMapper.cs;CompoundMapper;class;18;2;1;0;1;5;0;
2D (Molz atual);Data\Mappers\QuestionMapper.cs;QuestionMapper;class;14;1;1;0;1;2;0;
2D (Molz atual);Data\Mappers\SolutionMapper.cs;SolutionMapper;class;23;1;1;0;1;7;0;
2D (Molz atual);Data\Mappers\SolventMapper.cs;SolventMapper;class;24;2;1;0;1;9;0;
2D (Molz atual);Data\Providers\FileJsonProvider.cs;FileJsonProvider;class;15;1;2;1;1;5;0;IJsonProvider
2D (Molz atual);Data\Providers\IJsonProvider.cs;IJsonProvider;interface;4;1;0;0;1;0;0;
2D (Molz atual);Data\Providers\ResourcesJsonProvider.cs;ResourcesJsonProvider;class;32;3;2;1;1;10;0;IJsonProvider
2D (Molz atual);Data\Repositories\ICompoundRepository.cs;ICompoundRepository;interface;5;1;0;0;2;1;0;
2D (Molz atual);Data\Repositories\IQuestionRepository.cs;IQuestionRepository;interface;5;1;0;0;2;1;0;
2D (Molz atual);Data\Repositories\ISolutionRepository.cs;ISolutionRepository;interface;5;1;0;0;2;1;0;
2D (Molz atual);Data\Repositories\ISolventRepository.cs;ISolventRepository;interface;5;1;0;0;2;1;0;
2D (Molz atual);Data\Repositories\JsonCompoundRepository.cs;JsonCompoundRepository;class;27;4;3;1;2;12;0;ICompoundRepository
2D (Molz atual);Data\Repositories\JsonQuestionRepository.cs;JsonQuestionRepository;class;26;4;3;2;2;13;0;IQuestionRepository
2D (Molz atual);Data\Repositories\JsonSolutionRepository.cs;JsonSolutionRepository;class;31;4;3;1;2;14;0;ISolutionRepository
2D (Molz atual);Data\Repositories\JsonSolventRepository.cs;JsonSolventRepository;class;26;4;3;1;2;12;0;ISolventRepository
2D (Molz atual);Domain\Entities\Compound.cs;Compound;class;30;1;9;0;1;9;0;IChemicalSubstance
2D (Molz atual);Domain\Entities\IChemicalSubstance.cs;IChemicalSubstance;interface;8;1;0;0;0;1;0;
2D (Molz atual);Domain\Entities\MixtureHistoryEntry.cs;MixtureHistoryEntry;class;21;1;5;0;1;11;0;
2D (Molz atual);Domain\Entities\PlayerProfile.cs;PlayerProfile;class;27;2;7;0;3;3;0;
2D (Molz atual);Domain\Entities\Question.cs;Question;class;41;7;8;0;0;9;0;
2D (Molz atual);Domain\Entities\SolubilityOutcome.cs;SolubilityOutcome;class;23;1;7;0;0;8;0;
2D (Molz atual);Domain\Entities\Solution.cs;Solution;class;28;1;8;0;1;8;0;
2D (Molz atual);Domain\Entities\Solvent.cs;Solvent;class;36;1;9;0;1;9;0;IChemicalSubstance
2D (Molz atual);Domain\Enums\FlaskType.cs;FlaskType;enum;7;1;0;0;0;0;0;
2D (Molz atual);Domain\Enums\GameMode.cs;GameMode;enum;6;1;0;0;0;0;0;
2D (Molz atual);Domain\Enums\LitmusResultKind.cs;LitmusResultKind;enum;7;1;0;0;0;0;0;
2D (Molz atual);Domain\Enums\MixtureType.cs;MixtureType;enum;5;1;0;0;0;0;0;
2D (Molz atual);Domain\Enums\PhysicalState.cs;PhysicalState;enum;5;1;0;0;0;0;0;
2D (Molz atual);Domain\Enums\SolubilityResultKind.cs;SolubilityResultKind;enum;6;1;0;0;0;0;0;
2D (Molz atual);Domain\Services\GameModeRules.cs;GameModeRulesFactory;class;17;4;1;0;1;8;0;
2D (Molz atual);Domain\Services\GameModeRules.cs;EstudoLivreRules;class;10;1;6;0;1;3;0;IGameModeRules
2D (Molz atual);Domain\Services\GameModeRules.cs;ExperimentosRules;class;10;1;6;0;1;3;0;IGameModeRules
2D (Molz atual);Domain\Services\GameModeRules.cs;DesafioRules;class;10;1;6;0;1;3;0;IGameModeRules
2D (Molz atual);Domain\Services\IGameModeRules.cs;IGameModeRules;interface;19;1;0;0;1;1;0;
2D (Molz atual);Domain\Services\IHistoryService.cs;IHistoryService;interface;11;1;0;0;3;2;0;
2D (Molz atual);Domain\Services\IQuestionService.cs;IQuestionService;interface;7;1;0;0;1;2;0;
2D (Molz atual);Domain\Services\IScoringService.cs;IScoringService;interface;4;1;0;0;1;0;0;
2D (Molz atual);Domain\Services\ISolubilityService.cs;ISolubilityService;interface;7;1;0;0;1;1;0;
2D (Molz atual);Domain\Services\InMemoryHistoryService.cs;InMemoryHistoryService;class;28;2;3;2;3;8;0;IHistoryService
2D (Molz atual);Domain\Services\QuestionService.cs;QuestionService;class;67;9;1;1;2;14;0;IQuestionService
2D (Molz atual);Domain\Services\ScoringService.cs;ScoringService;class;15;2;2;1;1;1;0;IScoringService
2D (Molz atual);Domain\Services\SolubilityService.cs;SolubilityService;class;42;9;2;3;1;18;0;ISolubilityService
2D (Molz atual);Domain\States\GameStateMachine.cs;GameStateMachine;class;40;7;5;1;3;12;0;
2D (Molz atual);Domain\States\GameStates.cs;DelegateGameState;class;17;4;4;2;2;4;0;IGameState
2D (Molz atual);Domain\States\GameStates.cs;MenuState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;LabState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;QuestionState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;MixingState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;VictoryState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;DefeatState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\GameStates.cs;WinGameState;class;4;1;1;0;0;2;0;DelegateGameState
2D (Molz atual);Domain\States\IGameState.cs;IGameState;interface;6;1;0;0;2;0;0;
2D (Molz atual);Domain\UseCases\GenerateMysteryQuestionUseCase.cs;GenerateMysteryQuestionRequest;struct;9;1;2;0;0;1;0;
2D (Molz atual);Domain\UseCases\GenerateMysteryQuestionUseCase.cs;GenerateMysteryQuestionResponse;struct;9;1;2;0;0;1;0;
