projeto;arquivo;tipo;especie;loc;cc;membros_publicos;campos;metodos;acoplamento_eferente;unity;heranca
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;class;334;50;13;13;23;50;1;MonoBehaviour
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxId;enum;12;1;0;0;0;0;0;
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;class;163;30;16;13;21;38;1;MonoBehaviour
2D pre-MVP (1226b59);Core\Bootstrap\Bootstrapper.cs;Bootstrapper;class;48;2;0;2;1;22;1;MonoBehaviour
2D pre-MVP (1226b59);Core\GameManager.cs;GameManager;class;388;59;28;10;25;77;1;MonoBehaviour
2D pre-MVP (1226b59);Core\SceneFader.cs;SceneFader;class;98;7;6;3;8;19;1;MonoBehaviour
2D pre-MVP (1226b59);Core\ServiceLocator.cs;ServiceLocator;class;50;6;4;1;4;8;0;
2D pre-MVP (1226b59);Data\DataIndex.cs;DataIndex;class;6;1;3;3;0;0;0;
2D pre-MVP (1226b59);Data\DifficultyLevelData.cs;DifficultyLevelData;class;26;5;6;5;0;8;1;ScriptableObject
2D pre-MVP (1226b59);Data\Dtos\CompoundDto.cs;CompoundDto;class;11;1;7;7;0;2;0;
2D pre-MVP (1226b59);Data\Dtos\SolutionDto.cs;SolutionDto;class;10;1;6;6;0;2;0;
2D pre-MVP (1226b59);Data\Dtos\SolventDto.cs;SolventDto;class;11;1;7;7;0;2;0;
2D pre-MVP (1226b59);Data\Mappers\CompoundMapper.cs;CompoundMapper;class;18;2;1;0;1;5;0;
2D pre-MVP (1226b59);Data\Mappers\SolutionMapper.cs;SolutionMapper;class;23;1;1;0;1;7;0;
2D pre-MVP (1226b59);Data\Mappers\SolventMapper.cs;SolventMapper;class;24;2;1;0;1;9;0;
2D pre-MVP (1226b59);Data\Providers\FileJsonProvider.cs;FileJsonProvider;class;15;1;2;1;1;5;0;IJsonProvider
2D pre-MVP (1226b59);Data\Providers\IJsonProvider.cs;IJsonProvider;interface;4;1;0;0;1;0;0;
2D pre-MVP (1226b59);Data\Providers\ResourcesJsonProvider.cs;ResourcesJsonProvider;class;32;3;2;1;1;10;0;IJsonProvider
2D pre-MVP (1226b59);Data\Repositories\ICompoundRepository.cs;ICompoundRepository;interface;5;1;0;0;2;1;0;
2D pre-MVP (1226b59);Data\Repositories\ISolutionRepository.cs;ISolutionRepository;interface;5;1;0;0;2;1;0;
2D pre-MVP (1226b59);Data\Repositories\ISolventRepository.cs;ISolventRepository;interface;5;1;0;0;2;1;0;
2D pre-MVP (1226b59);Data\Repositories\JsonCompoundRepository.cs;JsonCompoundRepository;class;27;4;3;1;2;12;0;ICompoundRepository
2D pre-MVP (1226b59);Data\Repositories\JsonSolutionRepository.cs;JsonSolutionRepository;class;31;4;3;1;2;14;0;ISolutionRepository
2D pre-MVP (1226b59);Data\Repositories\JsonSolventRepository.cs;JsonSolventRepository;class;26;4;3;1;2;12;0;ISolventRepository
2D pre-MVP (1226b59);Domain\Entities\Compound.cs;Compound;class;30;1;9;0;1;9;0;IChemicalSubstance
2D pre-MVP (1226b59);Domain\Entities\IChemicalSubstance.cs;IChemicalSubstance;interface;8;1;0;0;0;1;0;
2D pre-MVP (1226b59);Domain\Entities\MixtureHistoryEntry.cs;MixtureHistoryEntry;class;21;1;5;0;1;11;0;
2D pre-MVP (1226b59);Domain\Entities\PlayerProfile.cs;PlayerProfile;class;27;2;7;0;3;3;0;
2D pre-MVP (1226b59);Domain\Entities\Question.cs;Question;class;41;7;8;0;0;9;0;
2D pre-MVP (1226b59);Domain\Entities\SolubilityOutcome.cs;SolubilityOutcome;class;23;1;7;0;0;8;0;
2D pre-MVP (1226b59);Domain\Entities\Solution.cs;Solution;class;28;1;8;0;1;8;0;
2D pre-MVP (1226b59);Domain\Entities\Solvent.cs;Solvent;class;36;1;9;0;1;9;0;IChemicalSubstance
2D pre-MVP (1226b59);Domain\Enums\FlaskType.cs;FlaskType;enum;7;1;0;0;0;0;0;
2D pre-MVP (1226b59);Domain\Enums\GameMode.cs;GameMode;enum;6;1;0;0;0;0;0;
2D pre-MVP (1226b59);Domain\Enums\LitmusResultKind.cs;LitmusResultKind;enum;7;1;0;0;0;0;0;
