projeto;arquivo;tipo;membro;loc;cc;aninhamento;parametros;halstead_volume;maintainability_index
3D (ChemistryLab);Core\CanvasSetup.cs;CanvasSetup;Awake;15;3;4;0;386.4;55.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;Instance (prop);1;1;0;0;18.1;91.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;CurrentMode (prop);1;1;0;0;18.1;91.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;DiscoveredCompounds (prop);1;1;0;0;18.1;91.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;PlayerLives (prop);1;1;0;0;18.1;91.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;Awake;14;4;2;0;242.5;57.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;Start;4;1;0;0;2;84.6
3D (ChemistryLab);Core\GameManager.cs;GameManager;OnDestroy;4;1;0;0;24;77.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;OnSceneLoaded;14;3;1;2;210.9;58.3
3D (ChemistryLab);Core\GameManager.cs;GameManager;ConfigureUIComponents;5;3;0;0;150.1;69.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;ToggleSettingsPanel;4;1;0;0;39.9;75.5
3D (ChemistryLab);Core\GameManager.cs;GameManager;ResumeGame;4;1;0;0;28.5;76.5
3D (ChemistryLab);Core\GameManager.cs;GameManager;ExitGame;4;1;0;0;24;77.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;OpenOptions;4;1;0;0;2;84.6
3D (ChemistryLab);Core\GameManager.cs;GameManager;SetGameMode;5;1;0;1;34.9;73.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;SetInitialLives;19;4;1;1;232.8;55
3D (ChemistryLab);Core\GameManager.cs;GameManager;LoadMode;8;2;2;1;109.4;65.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;LoadExperimentMode;1;1;0;0;19.7;90.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;LoadStudyMode;1;1;0;0;19.7;90.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;LoadChallengeMode;1;1;0;0;19.7;90.8
3D (ChemistryLab);Core\GameManager.cs;GameManager;DiscoverCompound;7;2;2;1;78.9;68
3D (ChemistryLab);Core\GameManager.cs;GameManager;SaveGameState;6;1;0;0;137.6;67.9
3D (ChemistryLab);Core\GameManager.cs;GameManager;LoadGameState;12;2;0;0;482.9;57.4
3D (ChemistryLab);Core\GameManager.cs;GameManager;ResetLives;5;1;0;0;33;74
3D (ChemistryLab);Core\GameManager.cs;GameManager;AdjustPlayerLives;15;4;5;1;177.2;58.1
3D (ChemistryLab);Core\GameManager.cs;GameManager;UpdateLivesUI;19;7;2;0;296.3;53.9
3D (ChemistryLab);Core\GameManager.cs;GameManager;HandleGameOver;14;2;2;0;229.2;58.2
3D (ChemistryLab);Core\SceneLoader.cs;SceneLoader;LoadScenes;14;3;2;0;156;59.2
3D (ChemistryLab);Core\SceneLoader.cs;SceneLoader;LoadScenes_Coroutine;11;2;2;0;212.6;60.7
3D (ChemistryLab);Core\SceneLoader.cs;SceneLoader;LoadSceneAsync;20;3;4;2;398.1;53
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;Start;10;2;2;0;173.9;62.2
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;PlayAnimationBasedOnAnalysis;34;4;5;2;807.3;45.7
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;ResetAnimationToIdleSolid;4;1;0;0;28.5;76.5
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;ResetAnimationToDefault;7;1;0;0;162.6;65.9
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;ForceResetToDefault;5;1;0;0;80;71.3
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;PerformRestart;10;1;0;1;241.9;61.4
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;GetAnimationName;36;13;4;2;554.7;45.1
3D (ChemistryLab);Gameplay\Animation\AnimationController.cs;AnimationController;Start;4;1;0;0;38.1;75.7
3D (ChemistryLab);Gameplay\Animation\AnimationController.cs;AnimationController;StartAnimation;7;1;0;0;141.8;66.4
3D (ChemistryLab);Gameplay\Animation\AnimationController.cs;AnimationController;RestartAnimation;5;1;0;0;55.4;72.4
3D (ChemistryLab);Gameplay\Animation\AnimationController.cs;AnimationController;PerformRestart;9;1;0;0;204.3;62.9
3D (ChemistryLab);Gameplay\Animation\AnimationManager.cs;AnimationManager;Awake;21;4;2;0;421.1;52.2
3D (ChemistryLab);Gameplay\Animation\AnimationManager.cs;AnimationManager;ResetAnimationAndUI;16;6;2;0;276.7;55.8
3D (ChemistryLab);Gameplay\Animation\AnimationManager.cs;AnimationManager;ReplayCompleteMix;34;6;4;0;735.9;45.7
