projeto;arquivo;tipo;especie;loc;cc;membros_publicos;campos;metodos;acoplamento_eferente;unity;heranca
3D (ChemistryLab);Core\CanvasSetup.cs;CanvasSetup;class;18;3;0;0;1;8;1;MonoBehaviour
3D (ChemistryLab);Core\EventBus.cs;EventBus;class;3;1;0;0;0;1;1;MonoBehaviour
3D (ChemistryLab);Core\GameManager.cs;GameManager;class;204;24;20;4;22;51;1;MonoBehaviour
3D (ChemistryLab);Core\InputManager.cs;InputManager;class;3;1;0;0;0;1;1;MonoBehaviour
3D (ChemistryLab);Core\SceneLoader.cs;SceneLoader;class;55;6;6;5;3;17;1;MonoBehaviour
3D (ChemistryLab);Core\Singleton.cs;Singleton;class;3;1;0;0;0;0;0;
3D (ChemistryLab);Enums\GameMode.cs;GameMode;enum;6;1;0;0;0;0;0;
3D (ChemistryLab);Enums\GroupName.cs;GroupName;enum;14;1;0;0;0;0;0;
3D (ChemistryLab);Enums\PhysicalState.cs;PhysicalState;enum;6;1;0;0;0;0;0;
3D (ChemistryLab);Enums\ScenesIndex.cs;ScenesIndex;enum;7;1;0;0;0;0;0;
3D (ChemistryLab);Enums\SolubilityResults.cs;SolubilityResults;enum;9;1;0;0;0;0;0;
3D (ChemistryLab);Gameplay\Animation\AnalyticsAnimController.cs;AnalyticsAnimController;class;121;17;7;2;7;23;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\AnimationController.cs;AnimationController;class;33;1;2;1;4;9;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\AnimationManager.cs;AnimationManager;class;211;21;16;10;12;39;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\BlendShapeManager.cs;BlendShapeManager;class;178;16;10;3;8;17;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\ClickToAnim.cs;ClickToAnimate;class;25;4;0;1;2;11;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\ColorTransitionController.cs;ColorTransitionController;class;61;5;5;7;4;11;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\MaterialTransitionManager.cs;MaterialTransitionManager;class;157;11;7;1;7;19;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\PowderBlendController.cs;PowderBlendController;class;375;33;5;7;11;48;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Animation\PowderBlendShapeController.cs;PowderBlendShapeController2;class;641;54;7;8;22;56;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Chemistry\GameControllerChemical.cs;GameControllerChemical;class;163;18;6;8;8;33;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Chemistry\LoadGameManager.cs;LoadGameManager;class;64;4;5;6;7;18;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Chemistry\ModeSelection.cs;ModeSelection;class;17;1;3;0;3;6;1;MonoBehaviour
3D (ChemistryLab);Gameplay\History\HistoryManager.cs;HistoryManager;class;59;5;3;4;4;22;1;MonoBehaviour
3D (ChemistryLab);Gameplay\History\ReactionHistoryManager.cs;ReactionHistoryManager;class;51;5;3;5;3;25;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Player\Player.cs;Player;class;39;1;5;3;4;2;0;
3D (ChemistryLab);Gameplay\Player\PlayerController.cs;PlayerController;class;67;6;2;5;6;22;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Player\PlayerUIController.cs;PlayerUIController;class;24;1;4;3;3;3;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\BasicSceneLoader.cs;BasicSceneLoader;class;61;1;10;0;10;12;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\ChallengeModeQuestions.cs;ChallengeModeQuestions;class;11;1;1;0;1;2;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\ExperimentModeQuestions.cs;ExperimentModeQuestions;class;11;1;1;0;1;2;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\QuestionLoader.cs;QuestionLoader;class;160;5;5;3;5;10;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\QuestionManager.cs;QuestionManager;class;336;31;10;7;18;87;1;MonoBehaviour
3D (ChemistryLab);Gameplay\Questions\StudyModeQuestions.cs;StudyModeQuestions;class;11;1;1;0;1;2;1;MonoBehaviour
3D (ChemistryLab);Json\CompoundData.cs;CompoundData;class;12;1;8;8;0;2;0;
3D (ChemistryLab);Json\SolubilityData.cs;SolubilityData;class;12;1;8;8;0;2;0;
3D (ChemistryLab);Json\SolventData.cs;SolventData;class;11;1;7;7;0;2;0;
3D (ChemistryLab);Json\SubstanceManager.cs;CompoundsCollection;class;4;1;1;1;0;1;0;
3D (ChemistryLab);Json\SubstanceManager.cs;SolventsCollection;class;4;1;1;1;0;1;0;
3D (ChemistryLab);Json\SubstanceManager.cs;SolutionsCollection;class;4;1;1;1;0;1;0;
3D (ChemistryLab);Json\SubstanceManager.cs;SubstanceManager;class;592;56;36;9;42;75;1;MonoBehaviour
3D (ChemistryLab);Json\SubstanceManagerTest.cs;SubstanceManagerTest;class;209;8;1;1;19;31;1;MonoBehaviour
3D (ChemistryLab);Models\IChemicalCompound.cs;IChemicalCompound;interface;10;1;0;0;6;2;0;
3D (ChemistryLab);Models\Question.cs;Question;class;78;1;14;9;10;2;0;
3D (ChemistryLab);Models\ReactionHistoryEntry.cs;ReactionHistoryEntry;class;20;1;7;6;0;4;0;
3D (ChemistryLab);Models\SubstanceCompound.cs;SubstanceCompound;class;82;1;11;8;10;11;0;IChemicalCompound
3D (ChemistryLab);Models\SubstanceCompoundExtension.cs;SubstanceCompoundExtension;class;18;1;1;0;1;16;0;
3D (ChemistryLab);Models\SubstanceSolution.cs;SubstanceSolution;class;47;1;11;8;10;11;0;
